state,district,period,enrolment_count,demographic_update_count,biometric_update_count,UIS,total_updates,rolling_updates,historical_avg,RIS,BSS,period_dt,TSD,TSD_raw,TSD_norm,UIS_raw,RIS_raw,BSS_raw,AFI_raw,AFI
Maharashtra,Raigad,2025-03,24,120.0,49.0,0.0002724154383793,169.0,5635.666666666667,1806.3846153846157,0.2627828729542032,0.2899408284023668,2025-03-01,0.18784598422022106,-0.3595845876841563,0.187845984220221,0.0002724154383793,0.2627828729542032,0.2899408284023668,0.17583184681470052,18.511083767727172
Maharashtra,Raigad,2025-04,24,207.0,73.0,0.0004513391878473,280.0,194.0,1806.3846153846157,0.0090459355331724,0.2607142857142857,2025-04-01,0.19321744296209187,-0.3352079758252708,0.1932174429620918,0.0004513391878473,0.0090459355331724,0.2607142857142857,0.10621894566063708,11.101766849499345
Maharashtra,Raigad,2025-05,11,81.0,34.0,0.0004044468046943,115.0,188.0,1806.3846153846157,0.0087661643311155,0.2956521739130435,2025-05-01,0.1852328421295812,-0.3714434799398304,0.1852328421295812,0.0004044468046943,0.0087661643311155,0.2956521739130435,0.11327248702836429,11.852517393190345
Maharashtra,Raigad,2025-06,17,261.0,45.0,0.0006963518898216,306.0,233.66666666666663,1806.3846153846157,0.0108955340356595,0.1470588235294117,2025-06-01,0.19447562248721478,-0.3294981388132796,0.1944756224872147,0.0006963518898216,0.0108955340356595,0.1470588235294117,0.07859261945565724,8.161331919398895
Maharashtra,Raigad,2025-07,5,66.0,3.0,0.0005338697821966,69.0,163.33333333333334,1806.3846153846157,0.0076159938337706,0.0434782608695652,2025-07-01,0.18300683220051758,-0.3815454992687379,0.1830068322005175,0.0005338697821966,0.0076159938337706,0.0434782608695652,0.04953509105059645,5.068565589533972
Maharashtra,Raigad,2025-08,24,215.0,91.0,0.0004932492552903,306.0,227.0,1806.3846153846157,0.0105846771444852,0.2973856209150327,2025-08-01,0.19447562248721478,-0.3294981388132796,0.1944756224872147,0.0004932492552903,0.0105846771444852,0.2973856209150327,0.11603567378890953,12.1466198666359
Maharashtra,Raigad,2025-09,26,65.0,89.0,0.0002291414338302,154.0,176.33333333333334,1806.3846153846157,0.0082221647715605,0.577922077922078,2025-09-01,0.1871201114172655,-0.3628787244218436,0.1871201114172655,0.0002291414338302,0.0082221647715605,0.577922077922078,0.18402882538701176,19.383537163682664
Maharashtra,Raigad,2025-10,29,228.0,74.0,0.0004028702504332,302.0,254.0,1806.3846153846157,0.0118436475537412,0.2450331125827814,2025-10-01,0.19428205640642665,-0.3303765752766628,0.1942820564064266,0.0004028702504332,0.0118436475537412,0.2450331125827814,0.10319646239054595,10.780065899576508
Maharashtra,Raigad,2025-11,31,489.0,75.0,0.0007038395445509,564.0,340.0,1806.3846153846157,0.0158537014498898,0.1329787234042553,2025-11-01,0.20696063469804968,-0.2728389869250591,0.2069606346980496,0.0007038395445509,0.0158537014498898,0.1329787234042553,0.07881138501651148,8.184616444886142
Maharashtra,Raigad,2025-12,39,611.0,94.0,0.0006993277525986,705.0,523.6666666666666,1806.3846153846157,0.024417808801742,0.1333333333333333,2025-12-01,0.21378383904583154,-0.2418741015907991,0.2137838390458315,0.0006993277525986,0.024417808801742,0.1333333333333333,0.08240435166871471,8.567037349078609
Maharashtra,Raigad,NaT,607,3183.0,592.0,0.0002405938480758,3775.0,1681.3333333333333,1806.3846153846157,0.078398107954161,0.1568211920529801,,0.3623458060507275,0.432325884055855,0.3623458060507275,0.0002405938480758,0.078398107954161,0.1568211920529801,0.13134616436635352,13.776206839469623
Maharashtra,Raigarh,2025-01,27,2533.0,82300.0,0.1215506581671617,84833.0,84833.0,9411.76923076923,0.7591988466562795,0.9701413365081984,2025-01-01,0.9769550089230375,3.221529097427129,0.9769550089230375,0.1215506581671617,0.7591988466562795,0.9701413365081984,0.6641912450258756,70.4900918446001
Maharashtra,Raigarh,2025-02,27,118.0,269.0,0.0005545024307839,387.0,42610.0,9411.76923076923,0.3813311194467255,0.6950904392764858,2025-02-01,0.18213932553557635,-0.3854823950492879,0.1821393255355763,0.0005545024307839,0.3813311194467255,0.6950904392764858,0.30569960551715325,32.33368512084209
Maharashtra,Raigarh,2025-03,65,1036.0,415.0,0.0008635953778899,1451.0,28890.33333333333,9411.76923076923,0.2585492408164527,0.2860096485182632,2025-03-01,0.19215381866875325,-0.3400348874350148,0.1921538186687532,0.0008635953778899,0.2585492408164527,0.2860096485182632,0.17482956468079658,18.404404892856885
Maharashtra,Raigarh,2025-04,58,1360.0,710.0,0.0013806977125774,2070.0,1302.6666666666667,9411.76923076923,0.011657999020557,0.3429951690821256,2025-04-01,0.19797991946709587,-0.3135950310315983,0.1979799194670958,0.0013806977125774,0.011657999020557,0.3429951690821256,0.12867348523286304,13.491737633439275
Maharashtra,Raigarh,2025-05,39,830.0,270.0,0.0010911496849057,1100.0,1540.3333333333333,9411.76923076923,0.0137849573884324,0.2454545454545454,2025-05-01,0.18885016538891763,-0.3550274392889714,0.1888501653889176,0.0010911496849057,0.0137849573884324,0.2454545454545454,0.1029072536939997,10.749283690349566
Maharashtra,Raigarh,2025-06,28,964.0,279.0,0.0017173916647784,1243.0,1471.0,9411.76923076923,0.0131644702348306,0.2244569589702333,2025-06-01,0.19019609820662844,-0.3489193626077298,0.1901960982066284,0.0017173916647784,0.0131644702348306,0.2244569589702333,0.09795979444202518,10.222696047395717
Maharashtra,Raigarh,2025-07,5,277.0,17.0,0.0022747495067507,294.0,879.0,9411.76923076923,0.0078664645386921,0.0578231292517006,2025-07-01,0.18126399859818398,-0.3894547805832422,0.1812639985981839,0.0022747495067507,0.0078664645386921,0.0578231292517006,0.053357623019260184,5.475420501717641
Maharashtra,Raigarh,2025-08,69,461.0,835.0,0.0007266280589443,1296.0,944.3333333333334,9411.76923076923,0.0084511543565092,0.6442901234567902,2025-08-01,0.190694940439766,-0.3466555299916053,0.190694940439766,0.0007266280589443,0.0084511543565092,0.6442901234567902,0.20154229595896134,21.24760045733059
Maharashtra,Raigarh,2025-09,84,251.0,969.0,0.0005618712338508,1220.0,936.6666666666666,9411.76923076923,0.0083825427962551,0.7942622950819672,2025-09-01,0.18997961950168193,-0.349901780535482,0.1899796195016819,0.0005618712338508,0.0083825427962551,0.7942622950819672,0.23882569474004722,25.215895310411995
Maharashtra,Raigarh,2025-10,103,1021.0,1128.0,0.0008071522174901,2149.0,1555.0,9411.76923076923,0.0139162142863097,0.5248953001395998,2025-10-01,0.19872347675799903,-0.3102206390188844,0.198723476757999,0.0008071522174901,0.0139162142863097,0.5248953001395998,0.17468971962332422,18.38952034799404
Maharashtra,Raigarh,2025-11,100,964.0,1139.0,0.0008135711246083,2103.0,1824.0,9411.76923076923,0.0163235851178321,0.5416072277698526,2025-11-01,0.19829051934810601,-0.3121854748743888,0.198290519348106,0.0008135711246083,0.0163235851178321,0.5416072277698526,0.17938487842892487,18.889254147266566
Maharashtra,Raigarh,2025-12,104,388.0,1285.0,0.0006223273032433,1673.0,1975.0,9411.76923076923,0.0176749345437053,0.7680812910938434,2025-12-01,0.19424330877736723,-0.3305524187410593,0.1942433087773672,0.0006223273032433,0.0176749345437053,0.7680812910938434,0.2354744163558336,24.859198732361165
Maharashtra,Raigarh,NaT,1759,12094.0,10440.0,0.0004955970401503,22534.0,8770.0,9411.76923076923,0.0784856587079977,0.4632999023697524,,0.39058949416383704,0.5605006417301357,0.390589494163837,0.0004955970401503,0.0784856587079977,0.4632999023697524,0.21371296821425,22.54299780972283
Maharashtra,Raigarh(Mh),2025-08,3,0.0,6.0,7.737243220240629e-05,6.0,6.0,28.83333333333333,0.0175274356724811,1.0,2025-08-01,0.15502812395378993,-0.5085177323284554,0.1550281239537899,7.737243220240629e-05,0.0175274356724811,1.0,0.285410695438539,30.17421522078456
Maharashtra,Raigarh(Mh),2025-09,1,6.0,8.0,0.0005416070254168,14.0,10.0,28.83333333333333,0.0292123927874686,0.5714285714285714,2025-09-01,0.19428770618519292,-0.3303509356002375,0.1942877061851929,0.0005416070254168,0.0292123927874686,0.5714285714285714,0.1891802643986736,19.93183559097924
Maharashtra,Raigarh(Mh),2025-10,4,8.0,7.0,0.0001450733103795,15.0,11.666666666666666,28.83333333333333,0.0340811249187134,0.4666666666666667,2025-10-01,0.19919515396411827,-0.3080800860092102,0.1991951539641182,0.0001450733103795,0.0340811249187134,0.4666666666666667,0.16506950068228254,17.365582977546502
Maharashtra,Raigarh(Mh),2025-11,2,3.0,1.0,7.737243220240629e-05,4.0,11.0,28.83333333333333,0.0321336320662155,0.25,2025-11-01,0.14521322839593917,-0.55305943151051,0.1452132283959391,7.737243220240629e-05,0.0321336320662155,0.25,0.09959926542540243,10.397194737907075
Maharashtra,Raigarh(Mh),2025-12,3,9.0,5.0,0.0001805356751389,14.0,11.0,28.83333333333333,0.0321336320662155,0.3571428571428571,2025-12-01,0.19428770618519292,-0.3303509356002375,0.1942877061851929,0.0001805356751389,0.0321336320662155,0.3571428571428571,0.1362308242418484,14.296110369638475
Maharashtra,Raigarh(Mh),NaT,28,79.0,41.0,0.0001657980690051,120.0,46.0,28.83333333333333,0.1343770068223557,0.3416666666666667,,0.7144771707512824,2.030359121048651,0.7144771707512824,0.0001657980690051,0.1343770068223557,0.3416666666666667,0.2619560919432136,27.677801659401254
Maharashtra,Ratnagiri,2025-01,16,1465.0,63229.0,0.1564228790282022,64694.0,64694.0,7264.538461538462,0.7500979196790385,0.977354932451232,2025-01-01,0.976816416404306,3.2209001405277067,0.976816416404306,0.1564228790282022,0.7500979196790385,0.977354932451232,0.6741533600218894,71.5504192545717
Maharashtra,Ratnagiri,2025-02,5,41.0,104.0,0.0011219002669348,145.0,32419.5,7264.538461538462,0.3758895648288031,0.7172413793103448,2025-02-01,0.17909557888369307,-0.3992954455250138,0.179095578883693,0.0011219002669348,0.3758895648288031,0.7172413793103448,0.30943842189160603,32.731629682239856
Maharashtra,Ratnagiri,2025-03,31,376.0,487.0,0.0010769743385593,863.0,21900.666666666668,7264.538461538462,0.2539284092226594,0.5643105446118193,2025-03-01,0.18796889313085102,-0.3590268057198138,0.187968893130851,0.0010769743385593,0.2539284092226594,0.5643105446118193,0.24247660938635768,25.604483965782737
Maharashtra,Ratnagiri,2025-04,31,370.0,866.0,0.0015424568742286,1236.0,748.0,7264.538461538462,0.0086727245790942,0.7006472491909385,2025-04-01,0.1925785675238732,-0.338107303425469,0.1925785675238732,0.0015424568742286,0.0086727245790942,0.7006472491909385,0.2163084440095514,22.819249803278122
Maharashtra,Ratnagiri,2025-05,12,354.0,461.0,0.00262743884354,815.0,971.3333333333334,7264.538461538462,0.011262174431141,0.5656441717791411,2025-05-01,0.18737569106418864,-0.3617188596343676,0.1873756910641886,0.00262743884354,0.011262174431141,0.5656441717791411,0.18248995641847024,19.219746146579148
